ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000142173"	"COL6A2"	chr21	+	46125416	46125617	46125464	46125617	46124884	46124920	1	2,0,3	5,5,6	0,0,0	4,2,2	197	149	0.020939517895	0.17075559010707336	0.232,0.0,0.274	0.0,0.0,0.0	0.169
2	"ENSG00000142173"	"COL6A2"	chr21	+	46125416	46125617	46125464	46125617	46125265	46125311	2	2,0,2	149,129,137	1,0,1	71,42,61	197	149	1	1.0	0.01,0.0,0.011	0.011,0.0,0.012	-0.001
3	"ENSG00000156261"	"CCT8"	chr21	-	29066715	29067071	29066715	29066777	29067555	29067705	3	935,927,1035	0,0,0	709,750,701	1,1,0	443	149	1	1.0	1.0,1.0,1.0	0.996,0.996,1.0	0.003
6	"ENSG00000291050"	"TEKT4P2"	chr21	-	9068359	9068659	9068359	9068629	9069444	9069599	6	16,22,30	2,0,5	16,9,14	0,1,1	179	149	1	1.0	0.869,1.0,0.833	1.0,0.882,0.921	-0.034
7	"ENSG00000291050"	"TEKT4P2"	chr21	-	9068355	9069599	9068355	9068659	9070213	9070444	7	71,58,77	0,0,2	49,25,48	0,1,0	1089	149	1	1.0	1.0,1.0,0.84	1.0,0.774,1.0	0.022
8	"ENSG00000291050"	"TEKT4P2"	chr21	-	9069444	9069626	9069444	9069599	9070213	9070444	8	2,3,4	6,2,1	0,1,2	2,2,4	176	149	0.0170770076504	0.14699451198063165	0.22,0.559,0.772	0.0,0.297,0.297	0.319
9	"ENSG00000291050"	"TEKT4P2"	chr21	-	9069444	9069722	9069444	9069599	9070213	9070444	9	4,4,3	6,2,1	0,1,2	2,2,4	272	149	0.00614085591942	0.0661572780877472	0.268,0.523,0.622	0.0,0.215,0.215	0.328
10	"ENSG00000291050"	"TEKT4P2"	chr21	-	9069444	9069722	9069444	9069626	9070213	9070444	10	3,3,3	1,2,4	0,0,2	0,0,2	245	149	1	1.0	0.646,0.477,0.313	NA,NA,0.378	0.101
12	"ENSG00000291050"	"TEKT4P2"	chr21	-	9070213	9070444	9070213	9070436	9127488	9127547	12	1,0,0	0,1,0	0,1,0	0,0,0	157	149	1	1.0	1.0,0.0,NA	NA,1.0,NA	-0.5
13	"ENSG00000291050"	"TEKT4P2"	chr21	-	9077485	9077714	9077485	9077539	9127488	9127547	13	38,22,28	1,0,0	13,13,23	0,0,0	324	149	1	1.0	0.946,1.0,1.0	1.0,1.0,1.0	-0.018
15	"ENSG00000278932"	NA	chr21	+	9368208	9368911	9368465	9368911	9367173	9367275	15	2,0,1	0,1,0	0,0,1	3,1,1	406	149	0.00315223787576	0.03989453529396257	1.0,0.0,1.0	0.0,0.0,0.268	0.577
16	"ENSG00000278932"	NA	chr21	+	9368208	9368911	9368667	9368911	9367173	9367275	16	2,1,1	5,1,0	2,1,2	3,0,2	608	149	0.603794441559	1.0	0.089,0.197,1.0	0.14,1.0,0.197	-0.017
17	"ENSG00000278932"	NA	chr21	+	9368465	9368911	9368667	9368911	9367173	9367275	17	0,2,0	5,1,0	5,2,2	3,0,2	351	149	1	1.0	0.0,0.459,NA	0.414,1.0,0.298	-0.341
31	"ENSG00000160223"	"ICOSLG"	chr21	-	44227481	44229546	44227481	44229044	44230053	44230089	31	5,0,2	0,2,0	2,0,0	0,0,0	651	149	1	1.0	1.0,0.0,1.0	1.0,NA,NA	-0.333
35	"ENSG00000185437"	"SH3BGR"	chr21	+	39462374	39462560	39462379	39462560	39445854	39445929	35	15,7,4	1,1,2	4,4,7	0,0,0	154	149	0.231593621144	0.9182925047764808	0.936,0.871,0.659	1.0,1.0,1.0	-0.178
36	"ENSG00000185437"	"SH3BGR"	chr21	+	39462374	39462560	39462533	39462560	39445854	39445929	36	55,45,41	1,1,0	30,18,31	1,0,0	308	149	1	1.0	0.964,0.956,1.0	0.936,1.0,1.0	-0.005
37	"ENSG00000185437"	"SH3BGR"	chr21	+	39462379	39462560	39462533	39462560	39445854	39445929	37	41,39,39	1,1,0	26,14,24	1,0,0	303	149	1	1.0	0.953,0.95,1.0	0.927,1.0,1.0	-0.008
42	"ENSG00000159131"	"GART"	chr21	-	33539170	33539356	33539170	33539323	33542547	33542820	42	97,84,102	2,1,1	52,54,63	1,1,0	182	149	1	1.0	0.975,0.986,0.988	0.977,0.978,1.0	-0.002
