ID,GeneID,geneSymbol,chr,strand,riExonStart_0base,riExonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID.1,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,Distance,MeanCounts_SAMPLE_1,MeanCounts_SAMPLE_2,event_id
56,ENSG00000182944,EWSR1,chr22,+,29298732,29299851,29298732,29298895,29299598,29299851,56,"162,220,178","0,1,0","388,439,382","12,21,15",852,149,2.2583290793e-10,2.0059912312776168e-09,"1.0,0.975,1.0","0.85,0.785,0.817",0.174,703,187.0,419.0,EWSR1_chr22_+_29298732_29299851_29298732_29298895_29299598_29299851_703
116,ENSG00000100241,SBF1,chr22,-,50456491,50459392,50456491,50456673,50459254,50459392,116,"90,140,93","80,79,41","144,159,154","21,28,31",2730,149,5.83977310953e-14,7.693356510370161e-13,"0.058,0.088,0.11","0.272,0.237,0.213",-0.155,2581,174.33333333333334,179.0,SBF1_chr22_-_50456491_50459392_50456491_50456673_50459254_50459392_2581
138,ENSG00000187860,CCDC157,chr22,+,30370325,30371727,30370325,30370950,30371649,30371727,138,"6,3,8","1,7,5","28,24,39","1,3,3",848,149,7.74999266578e-05,0.0003307347272847,"0.513,0.07,0.219","0.831,0.584,0.696",-0.436,699,10.0,32.666666666666664,CCDC157_chr22_+_30370325_30371727_30370325_30370950_30371649_30371727_699
149,ENSG00000025770,NCAPH2,chr22,+,50523016,50523472,50523016,50523166,50523234,50523472,149,"17,12,8","152,134,139","66,62,38","92,94,119",217,149,2.22044604925e-16,3.5493638679498387e-15,"0.071,0.058,0.038","0.33,0.312,0.18",-0.218,68,154.0,157.0,NCAPH2_chr22_+_50523016_50523472_50523016_50523166_50523234_50523472_68
156,ENSG00000161179,YDJC,chr22,-,21629009,21629761,21629009,21629407,21629601,21629761,156,"387,365,441","303,275,293","423,348,396","123,130,153",343,149,9.044764937020001e-12,9.502127696583191e-11,"0.357,0.366,0.395","0.599,0.538,0.529",-0.183,194,688.0,524.3333333333334,YDJC_chr22_-_21629009_21629761_21629009_21629407_21629601_21629761_194
184,ENSG00000100359,SGSM3,chr22,+,40408932,40409372,40408932,40409018,40409249,40409372,184,"123,164,157","66,76,78","169,194,216","45,36,41",380,149,3.66604787638e-08,2.490025375376416e-07,"0.422,0.458,0.441","0.596,0.679,0.674",-0.209,231,221.33333333333331,233.66666666666666,SGSM3_chr22_+_40408932_40409372_40408932_40409018_40409249_40409372_231
297,ENSG00000105397,TYK2,chr19,-,10353527,10354234,10353527,10353646,10354041,10354234,297,"101,101,87","57,60,76","162,139,171","28,34,39",544,149,2.46798137482e-11,2.4570493767838844e-10,"0.327,0.316,0.239","0.613,0.528,0.546",-0.268,395,160.66666666666666,191.0,TYK2_chr19_-_10353527_10354234_10353527_10353646_10354041_10354234_395
303,ENSG00000105699,LSR,chr19,+,35266678,35266967,35266678,35266738,35266835,35266967,303,"2,2,6","67,62,59","21,20,15","68,36,58",246,149,1.65576863331e-09,1.3290948001363931e-08,"0.018,0.019,0.058","0.158,0.252,0.135",-0.15,97,66.0,72.66666666666667,LSR_chr19_+_35266678_35266967_35266678_35266738_35266835_35266967_97
309,ENSG00000076944,STXBP2,chr19,+,7647161,7647511,7647161,7647247,7647353,7647511,309,"12,12,14","118,88,88","36,41,30","68,66,68",255,149,2.89381851815e-11,2.8503920251153446e-10,"0.056,0.074,0.085","0.236,0.266,0.205",-0.164,106,110.66666666666667,103.0,STXBP2_chr19_+_7647161_7647511_7647161_7647247_7647353_7647511_106
357,ENSG00000011332,DPF1,chr19,-,38217459,38217876,38217459,38217591,38217797,38217876,357,"7,15,8","62,50,62","16,34,28","39,37,33",355,149,6.19800322177e-08,4.093552083336428e-07,"0.045,0.112,0.051","0.147,0.278,0.263",-0.16,206,68.0,62.333333333333336,DPF1_chr19_-_38217459_38217876_38217459_38217591_38217797_38217876_206
