ID,GeneID,geneSymbol,chr,strand,riExonStart_0base,riExonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID.1,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,Distance,MeanCounts_SAMPLE_1,MeanCounts_SAMPLE_2,event_id
42,ENSG00000241837,ATP5PO,chr21,-,33906448,33907453,33906448,33906500,33907340,33907453,42,"41,47,37","2,0,0","48,54,54","1,2,7",989,149,0.000730942976385,0.0044780912111289,"0.755,1.0,1.0","0.879,0.803,0.538",0.178,840,42.33333333333333,55.333333333333336,ATP5PO_chr21_-_33906448_33907453_33906448_33906500_33907340_33907453_840
48,ENSG00000185133,INPP5J,chr22,+,31126612,31127532,31126612,31126721,31127356,31127532,48,"21,17,7","0,2,0","35,47,40","6,16,19",784,149,2.11087795154e-05,0.0002090324666222,"1.0,0.618,1.0","0.526,0.358,0.286",0.483,635,15.666666666666666,54.33333333333333,INPP5J_chr22_+_31126612_31127532_31126612_31126721_31127356_31127532_635
155,ENSG00000161179,YDJC,chr22,-,21629009,21629761,21629009,21629407,21629601,21629761,155,"387,365,441","303,275,293","398,356,376","131,145,144",343,149,4.85321005605e-10,1.4494150349933453e-08,"0.357,0.366,0.395","0.569,0.516,0.531",-0.166,194,688.0,516.6666666666667,YDJC_chr22_-_21629009_21629761_21629009_21629407_21629601_21629761_194
161,ENSG00000128159,TUBGCP6,chr22,-,50217917,50218402,50217917,50218117,50218188,50218402,161,"22,36,25","44,48,37","46,63,50","25,32,51",220,149,0.000385197684019,0.0026070123830278,"0.253,0.337,0.314","0.555,0.571,0.399",-0.207,71,70.66666666666667,89.0,TUBGCP6_chr22_-_50217917_50218402_50217917_50218117_50218188_50218402_71
243,ENSG00000105677,TMEM147,chr19,+,35546671,35547240,35546671,35546808,35547118,35547240,243,"42,47,36","2,0,0","129,156,135","28,13,16",459,149,2.32256928689e-07,3.981698508686593e-06,"0.872,1.0,1.0","0.599,0.796,0.733",0.248,310,42.33333333333333,159.0,TMEM147_chr19_+_35546671_35547240_35546671_35546808_35547118_35547240_310
387,ENSG00000105696,TMEM59L,chr19,+,18618154,18618492,18618154,18618272,18618374,18618492,387,"23,23,15","65,92,69","28,28,35","27,28,18",251,149,1.63087088279e-09,4.4632488232281967e-08,"0.174,0.129,0.114","0.381,0.372,0.536",-0.291,102,95.66666666666666,54.666666666666664,TMEM59L_chr19_+_18618154_18618492_18618154_18618272_18618374_18618492_102
428,ENSG00000129353,SLC44A2,chr19,+,10634755,10635073,10634755,10634887,10634973,10635073,428,"2,1,4","89,108,91","27,39,23","53,77,41",235,149,0.0,0.0,"0.014,0.006,0.027","0.244,0.243,0.262",-0.234,86,98.33333333333333,86.66666666666667,SLC44A2_chr19_+_10634755_10635073_10634755_10634887_10634973_10635073_86
435,ENSG00000172009,THOP1,chr19,+,2807441,2808444,2807441,2807773,2808242,2808444,435,"177,162,160","1,2,1","149,187,182","12,14,4",618,149,7.29964998447e-07,1.1280732193659389e-05,"0.977,0.951,0.975","0.75,0.763,0.916",0.158,469,167.66666666666669,182.66666666666666,THOP1_chr19_+_2807441_2808444_2807441_2807773_2808242_2808444_469
449,ENSG00000142541,RPL13A,chr19,+,49489849,49490297,49489849,49489912,49490231,49490297,449,"252,225,227","1036,1094,1130","472,506,598","656,534,600",468,149,0.0,0.0,"0.072,0.061,0.06","0.186,0.232,0.241",-0.155,319,1321.3333333333335,1122.0,RPL13A_chr19_+_49489849_49490297_49489849_49489912_49490231_49490297_319
453,ENSG00000142541,RPL13A,chr19,+,49489849,49490576,49489849,49489922,49490474,49490576,453,"237,205,182","9,13,16","498,563,670","72,72,83",701,149,0.000152695084428,0.0011835048459373,"0.848,0.77,0.707","0.595,0.624,0.632",0.158,552,220.66666666666666,652.6666666666666,RPL13A_chr19_+_49489849_49490576_49489849_49489922_49490474_49490576_552
500,ENSG00000115268,RPS15,chr19,+,1438806,1440253,1438806,1438892,1439960,1440253,500,"184,175,224","8,13,15","298,386,398","13,8,4",1217,149,0.00133063393187,0.0073866526304589,"0.738,0.622,0.646","0.737,0.855,0.924",-0.17,1068,206.33333333333334,369.0,RPS15_chr19_+_1438806_1440253_1438806_1438892_1439960_1440253_1068
