ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000156261"	"CCT8"	chr21	-	29066715	29067071	29066715	29066777	29066890	29067071	0	16,7,10	760,785,868	10,10,12	705,644,661	262	149	1	1.0	0.012,0.005,0.007	0.008,0.009,0.01	-0.001
3	"ENSG00000291050"	"TEKT4P2"	chr21	-	9068355	9069599	9068355	9068659	9069444	9069599	3	65,56,76	8,14,22	41,44,41	3,5,8	934	149	0.145447602661	0.38320046835350385	0.564,0.39,0.355	0.686,0.584,0.45	-0.137
4	"ENSG00000291050"	"TEKT4P2"	chr21	-	9068359	9069599	9068359	9068629	9069444	9069599	4	73,64,84	2,0,5	46,50,48	0,1,2	964	149	0.107662401916	0.3054747193935708	0.849,1.0,0.722	1.0,0.885,0.788	-0.034
5	"ENSG00000291050"	"TEKT4P2"	chr21	-	9069444	9070444	9069444	9069599	9070213	9070444	5	4,1,5	6,2,1	2,3,3	4,2,2	763	149	0.775634493263	1.0	0.115,0.089,0.494	0.089,0.227,0.227	0.052
6	"ENSG00000291050"	"TEKT4P2"	chr21	-	9069444	9070444	9069444	9069626	9070213	9070444	6	3,0,5	1,2,4	2,3,3	0,1,2	736	149	0.397887337199	0.784619938152802	0.378,0.0,0.202	1.0,0.378,0.233	-0.344
7	"ENSG00000291050"	"TEKT4P2"	chr21	-	9069444	9070444	9069444	9069722	9070213	9070444	7	1,0,3	1,3,1	1,2,1	1,1,0	640	149	0.783409980018	1.0	0.189,0.0,0.411	0.189,0.318,1.0	-0.302
8	"ENSG00000278932"	NA	chr21	+	9325014	9325823	9325014	9325223	9325604	9325823	8	13,11,6	2,2,2	5,7,9	0,4,2	530	149	0.926165128424	1.0	0.646,0.607,0.458	1.0,0.33,0.559	-0.059
16	"ENSG00000160223"	"ICOSLG"	chr21	-	44226833	44230089	44226833	44229044	44230053	44230089	16	6,0,6	0,2,0	7,2,12	0,0,0	1158	149	0.0645272502448	0.21073814184197495	1.0,0.0,1.0	1.0,1.0,1.0	-0.333
19	"ENSG00000182670"	"TTC3"	chr21	+	37087832	37088346	37087832	37087875	37088195	37088346	19	3,3,4	42,43,28	3,1,3	20,17,25	469	149	0.860410444576	1.0	0.022,0.022,0.043	0.045,0.018,0.037	-0.004
20	"ENSG00000182670"	"TTC3"	chr21	+	37201439	37203080	37201439	37201570	37202283	37203080	20	994,1053,950	1,3,0	579,552,592	2,3,1	862	149	0.557672671381	0.9586070371034615	0.994,0.984,1.0	0.98,0.97,0.99	0.013
21	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46246306	46246404	46246627	46246886	21	41,58,51	110,58,77	108,84,70	58,70,95	372	149	0.00592048921872	0.03291809665531418	0.13,0.286,0.21	0.427,0.325,0.228	-0.118
