ID,GeneID,geneSymbol,chr,strand,longExonStart_0base,longExonEnd,shortES,shortEE,flankingES,flankingEE,ID.1,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,Distance,MeanCounts_SAMPLE_1,MeanCounts_SAMPLE_2,event_id
844,ENSG00000063245,EPN1,chr19,+,55692950,55693037,55692953,55693037,55692685,55692796,844,"170,161,138","95,82,82","106,51,121","148,46,110",152,149,2.90364038472e-05,0.0012095476977599,"0.637,0.658,0.623","0.412,0.521,0.519",0.155,3,242.66666666666669,194.0,EPN1_chr19_+_55692950_55693037_55692953_55693037_55692685_55692796_3
1701,ENSG00000120071,KANSL1,chr17,-,46034160,46034285,46034160,46034282,46038537,46038686,1701,"43,52,37","4,9,4","35,26,35","14,11,17",152,149,4.76510270502e-05,0.0018344785287484,"0.913,0.85,0.901","0.71,0.699,0.669",0.195,3,49.666666666666664,46.0,KANSL1_chr17_-_46034160_46034285_46034160_46034282_46038537_46038686_3
1902,ENSG00000178999,AURKB,chr17,-,8207175,8207370,8207175,8207367,8207570,8207625,1902,"18,30,30","619,620,697","46,40,68","490,368,482",152,149,7.36869454343e-11,1.8709466335985123e-08,"0.028,0.045,0.04","0.084,0.096,0.121",-0.063,3,671.3333333333334,498.0,AURKB_chr17_-_8207175_8207370_8207175_8207367_8207570_8207625_3
2264,ENSG00000168488,ATXN2L,chr16,+,28835545,28835758,28835548,28835758,28835277,28835399,2264,"87,83,92","497,548,416","133,65,80","381,199,369",152,149,0.000185018153313,0.0053325232079184,"0.146,0.129,0.178","0.255,0.243,0.175",-0.073,3,574.3333333333334,409.0,ATXN2L_chr16_+_28835545_28835758_28835548_28835758_28835277_28835399_3
2699,ENSG00000103978,TMEM87A,chr15,-,42218322,42218378,42218322,42218375,42219580,42219642,2699,"65,67,84","6,3,6","46,51,40","17,7,9",152,149,0.00017386559576,0.0050800871570277,"0.914,0.956,0.932","0.726,0.877,0.813",0.129,3,77.0,56.666666666666664,TMEM87A_chr15_-_42218322_42218378_42218322_42218375_42219580_42219642_3
3168,ENSG00000092199,HNRNPC,chr14,-,21211405,21211566,21211405,21211563,21211809,21211923,3168,"4387,4177,4300","126,95,174","3711,4527,3745","200,209,147",152,149,7.24619142611e-05,0.0025843941594661,"0.972,0.977,0.96","0.948,0.955,0.961",0.015,3,4419.666666666667,4179.666666666667,HNRNPC_chr14_-_21211405_21211566_21211405_21211563_21211809_21211923_3
4674,ENSG00000132466,ANKRD17,chr4,-,73135116,73135265,73135116,73135262,73139530,73140283,4674,"53,77,34","17,10,4","48,28,31","22,12,22",152,149,0.000334613718165,0.0086825928136703,"0.753,0.883,0.893","0.681,0.696,0.58",0.191,3,65.0,54.33333333333333,ANKRD17_chr4_-_73135116_73135265_73135116_73135262_73139530_73140283_3
4889,ENSG00000100650,SRSF5,chr14,+,69771193,69772005,69771196,69772005,69770994,69771105,4889,"886,879,819","47,82,94","898,907,949","157,144,145",152,149,6.39381854128e-08,7.029245456104115e-06,"0.949,0.913,0.895","0.849,0.861,0.865",0.061,3,935.6666666666667,1066.6666666666667,SRSF5_chr14_+_69771193_69772005_69771196_69772005_69770994_69771105_3
5702,ENSG00000169714,CNBP,chr3,-,129171078,129171280,129171078,129171277,129171445,129171538,5702,"510,526,491","1396,1442,1465","312,398,332","1498,1811,1621",152,149,2.52453969951e-08,3.243577271755981e-06,"0.264,0.263,0.247","0.17,0.177,0.167",0.087,3,1943.3333333333333,1990.6666666666665,CNBP_chr3_-_129171078_129171280_129171078_129171277_129171445_129171538_3
5766,ENSG00000169727,GPS1,chr17,+,82055161,82055222,82055164,82055222,82054897,82054975,5766,"329,360,335","62,71,65","291,293,266","136,123,93",152,149,3.03657199385e-09,5.140000594034349e-07,"0.839,0.833,0.835","0.677,0.7,0.737",0.131,3,407.3333333333333,400.66666666666663,GPS1_chr17_+_82055161_82055222_82055164_82055222_82054897_82054975_3
