ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000293035"	"LINC01667"	chr21	-	9807734	9807974	9807734	9807820	9808173	9808361	0	105,101,122	59,79,98	23,37,32	21,44,27	253	99	0.0701388292124	0.368988050394916	0.411,0.333,0.328	0.3,0.248,0.317	0.069
4	"ENSG00000291050"	"TEKT4P2"	chr21	-	9068359	9068659	9068359	9068629	9069444	9069599	4	9,3,0	2,0,0	3,6,5	0,0,0	129	99	1	1.0	0.775,1.0,NA	1.0,1.0,1.0	-0.113
6	"ENSG00000291050"	"TEKT4P2"	chr21	-	9069444	9069626	9069444	9069599	9070213	9070444	6	1,1,2	2,0,1	1,0,0	3,2,0	126	99	1	1.0	0.282,1.0,0.611	0.208,0.0,NA	0.527
7	"ENSG00000291050"	"TEKT4P2"	chr21	-	9069444	9069722	9069444	9069599	9070213	9070444	7	1,1,2	2,0,1	2,0,0	3,2,0	222	99	1	1.0	0.182,1.0,0.471	0.229,0.0,NA	0.437
8	"ENSG00000291050"	"TEKT4P2"	chr21	-	9069444	9069722	9069444	9069626	9070213	9070444	8	0,0,1	0,0,1	1,0,0	0,0,0	195	99	1	1.0	NA,NA,0.337	1.0,NA,NA	-0.663
12	"ENSG00000291050"	"TEKT4P2"	chr21	-	9127488	9127547	9127488	9127535	9129682	9129763	12	3,10,5	4,9,2	7,6,7	5,8,8	111	99	0.62473721081	1.0	0.401,0.498,0.69	0.555,0.401,0.438	0.065
13	"ENSG00000278932"	NA	chr21	+	9368208	9368911	9368465	9368911	9367173	9367275	13	1,0,0	0,1,0	0,2,2	0,0,1	356	99	1	1.0	1.0,0.0,NA	NA,1.0,0.357	-0.178
14	"ENSG00000278932"	NA	chr21	+	9368208	9368911	9368667	9368911	9367173	9367275	14	1,0,0	1,1,0	0,2,3	3,0,4	558	99	1	1.0	0.151,0.0,NA	0.0,1.0,0.117	-0.297
15	"ENSG00000278932"	NA	chr21	+	9368465	9368911	9368667	9368911	9367173	9367275	15	0,1,0	1,1,0	0,0,2	3,0,4	301	99	1	1.0	0.0,0.247,NA	0.0,NA,0.141	0.053
30	"ENSG00000160223"	"ICOSLG"	chr21	-	44236866	44237065	44236866	44237060	44238447	44238488	30	2,3,2	0,0,1	4,1,3	0,2,1	104	99	0.408585673545	1.0	1.0,1.0,0.656	1.0,0.322,0.741	0.198
31	"ENSG00000160223"	"ICOSLG"	chr21	-	44236866	44237217	44236866	44237060	44238447	44238488	31	8,11,7	0,0,1	4,4,8	0,2,1	256	99	0.506685125672	1.0	1.0,1.0,0.73	1.0,0.436,0.756	0.179
32	"ENSG00000160223"	"ICOSLG"	chr21	-	44236866	44237217	44236866	44237065	44238447	44238488	32	7,10,6	1,2,1	4,4,8	4,1,3	251	99	0.059202006013	0.33322678103805803	0.734,0.664,0.703	0.283,0.612,0.513	0.231
35	"ENSG00000160255"	"ITGB2"	chr21	-	44910283	44910415	44910283	44910372	44910724	44910785	35	0,1,0	9,0,1	1,0,0	7,4,6	142	99	1	1.0	0.0,1.0,0.0	0.091,0.0,0.0	0.303
37	"ENSG00000159131"	"GART"	chr21	-	33539170	33539356	33539170	33539323	33542547	33542820	37	127,113,112	3,0,0	81,72,79	1,2,2	132	99	0.549654854829	1.0	0.969,1.0,1.0	0.984,0.964,0.967	0.018
38	"ENSG00000159131"	"GART"	chr21	-	33539170	33539356	33539170	33539323	33542586	33542842	38	123,113,108	0,2,0	73,69,76	0,0,0	132	99	1	1.0	1.0,0.977,1.0	1.0,1.0,1.0	-0.008
39	"ENSG00000160305"	"DIP2A"	chr21	+	46511416	46511614	46511428	46511614	46509256	46509376	39	157,129,132	0,0,1	161,150,127	0,0,0	111	99	1	1.0	1.0,1.0,0.992	1.0,1.0,1.0	-0.003
41	"ENSG00000159267"	"HLCS"	chr21	-	36756541	36756980	36756541	36756755	36759726	36759841	41	14,5,8	54,65,74	0,6,3	54,66,57	324	99	0.00306655252285	0.03912642049673799	0.073,0.023,0.032	0.0,0.027,0.016	0.028
45	"ENSG00000186866"	"POFUT2"	chr21	-	45263927	45267713	45263927	45265635	45269838	45270019	45	422,386,385	0,0,1	651,915,958	2,1,2	2177	99	0.155534296978	0.6185186849460291	1.0,1.0,0.946	0.937,0.977,0.956	0.025
46	"ENSG00000186866"	"POFUT2"	chr21	-	45263927	45267713	45263927	45265635	45277016	45277142	46	314,301,313	0,0,0	552,760,801	0,1,0	2177	99	1	1.0	1.0,1.0,1.0	1.0,0.972,1.0	0.009
50	"ENSG00000160191"	"PDE9A"	chr21	+	42698912	42699011	42698967	42699011	42687916	42687994	50	6,1,4	46,39,44	6,2,3	46,5,14	154	99	0.192607844967	0.7018617974606756	0.077,0.016,0.055	0.077,0.205,0.121	-0.085
52	"ENSG00000154734"	"ADAMTS1"	chr21	-	26839874	26840562	26839874	26840061	26840997	26841165	52	675,748,522	0,0,0	959,1055,1024	0,0,1	600	99	1	1.0	1.0,1.0,1.0	1.0,1.0,0.994	0.002
54	"ENSG00000185917"	"SETD4"	chr21	-	36058815	36058973	36058815	36058924	36059821	36060242	54	4,12,6	0,2,3	10,7,11	1,1,2	148	99	0.459547566691	1.0	1.0,0.801,0.572	0.87,0.824,0.786	-0.036
55	"ENSG00000185917"	"SETD4"	chr21	-	36058815	36058973	36058815	36058924	36060281	36060313	55	4,13,7	3,3,5	11,7,11	1,3,0	148	99	0.0181613750882	0.14676079147796234	0.471,0.744,0.484	0.88,0.609,1.0	-0.263
56	"ENSG00000185917"	"SETD4"	chr21	-	36058815	36058973	36058815	36058924	36060346	36060526	56	6,19,11	6,8,5	13,11,14	10,8,9	148	99	0.452685746405	1.0	0.401,0.614,0.595	0.465,0.479,0.51	0.052
57	"ENSG00000160216"	"AGPAT3"	chr21	+	43967868	43968115	43967945	43968115	43960631	43960779	57	5,7,1	18,25,14	10,21,12	33,25,20	176	99	0.00821627522502	0.08163658684170118	0.135,0.136,0.039	0.146,0.321,0.252	-0.136
