ID,GeneID,geneSymbol,chr,strand,riExonStart_0base,riExonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID.1,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,Distance,MeanCounts_SAMPLE_1,MeanCounts_SAMPLE_2,event_id
31,ENSG00000185917,SETD4,chr21,-,36034540,36036251,36034540,36035960,36036084,36036251,31,"8,11,11","18,21,13","31,25,29","22,9,21",273,149,0.00085368203073,0.0067283860688402,"0.195,0.222,0.316","0.435,0.603,0.43",-0.245,124,27.333333333333332,45.666666666666664,SETD4_chr21_-_36034540_36036251_36034540_36035960_36036084_36036251_124
48,ENSG00000185133,INPP5J,chr22,+,31126612,31127532,31126612,31126721,31127356,31127532,48,"21,17,7","0,2,0","20,15,19","6,6,3",784,149,6.18140077014e-05,0.0008114176785592,"1.0,0.618,1.0","0.388,0.322,0.546",0.454,635,15.666666666666666,23.0,INPP5J_chr22_+_31126612_31127532_31126612_31126721_31127356_31127532_635
131,ENSG00000100241,SBF1,chr22,-,50467337,50467693,50467337,50467448,50467540,50467693,131,"21,13,22","10,23,14","16,17,18","5,1,2",241,149,0.000215177600503,0.0022344905144155,"0.565,0.259,0.493","0.664,0.913,0.848",-0.369,92,34.333333333333336,19.666666666666668,SBF1_chr22_-_50467337_50467693_50467337_50467448_50467540_50467693_92
244,ENSG00000105677,TMEM147,chr19,+,35546671,35547240,35546671,35546808,35547118,35547240,244,"42,47,36","2,0,0","98,58,68","9,12,3",459,149,1.06454271475e-05,0.0001894327083812,"0.872,1.0,1.0","0.779,0.611,0.88",0.201,310,42.33333333333333,82.66666666666667,TMEM147_chr19_+_35546671_35547240_35546671_35546808_35547118_35547240_310
295,ENSG00000105397,TYK2,chr19,-,10353527,10354234,10353527,10353646,10354041,10354234,295,"101,101,87","57,60,76","162,138,139","46,49,37",544,149,8.81639800498e-07,2.106893061702913e-05,"0.327,0.316,0.239","0.491,0.435,0.507",-0.184,395,160.66666666666666,190.33333333333334,TYK2_chr19_-_10353527_10354234_10353527_10353646_10354041_10354234_395
301,ENSG00000105699,LSR,chr19,+,35266678,35266967,35266678,35266738,35266835,35266967,301,"2,2,6","67,62,59","27,33,37","90,87,65",246,149,1.04838360215e-12,1.0707874161137535e-10,"0.018,0.019,0.058","0.154,0.187,0.256",-0.167,97,66.0,113.0,LSR_chr19_+_35266678_35266967_35266678_35266738_35266835_35266967_97
302,ENSG00000105699,LSR,chr19,+,35266678,35266967,35266678,35266738,35266838,35266967,302,"3,3,8","11,11,4","30,34,37","8,8,6",249,149,1.57605507558e-05,0.0002628873969468,"0.14,0.14,0.545","0.692,0.718,0.787",-0.457,100,13.333333333333332,41.0,LSR_chr19_+_35266678_35266967_35266678_35266738_35266838_35266967_100
382,ENSG00000099624,ATP5F1D,chr19,+,1244314,1244825,1244314,1244440,1244736,1244825,382,"503,467,490","203,210,221","483,463,473","114,114,101",445,149,1.96080309767e-08,7.237498958528474e-07,"0.453,0.427,0.426","0.587,0.576,0.611",-0.156,296,698.0,582.6666666666666,ATP5F1D_chr19_+_1244314_1244825_1244314_1244440_1244736_1244825_296
398,ENSG00000170889,RPS9,chr19,+,54206275,54206724,54206275,54206462,54206552,54206724,398,"106,103,123","263,258,246","203,192,182","158,169,188",239,149,2.10942374679e-15,3.419100751318748e-13,"0.201,0.199,0.238","0.445,0.415,0.376",-0.199,90,366.3333333333333,364.0,RPS9_chr19_+_54206275_54206724_54206275_54206462_54206552_54206724_90
399,ENSG00000170889,RPS9,chr19,+,54206552,54207647,54206552,54206724,54207397,54207647,399,"232,265,311","230,246,205","483,435,502","163,147,182",822,149,3.33066907388e-16,6.367556055089559e-14,"0.155,0.163,0.216","0.349,0.349,0.333",-0.166,673,496.3333333333333,637.3333333333333,RPS9_chr19_+_54206552_54207647_54206552_54206724_54207397_54207647_673
568,ENSG00000064545,TMEM161A,chr19,-,19132351,19132754,19132351,19132433,19132656,19132754,568,"151,149,149","5,7,9","119,121,104","10,18,20",372,149,9.80992083391e-05,0.0011778223790279,"0.924,0.895,0.869","0.827,0.729,0.676",0.152,223,156.66666666666666,130.66666666666669,TMEM161A_chr19_-_19132351_19132754_19132351_19132433_19132656_19132754_223
730,ENSG00000088970,KIZ,chr20,+,21244244,21246622,21244244,21244288,21246478,21246622,730,"269,351,316","18,14,19","111,128,152","20,24,14",2339,149,8.45552908795e-05,0.0010472495827201,"0.488,0.615,0.514","0.261,0.254,0.409",0.231,2190,329.0,149.66666666666669,KIZ_chr20_+_21244244_21246622_21244244_21244288_21246478_21246622_2190
765,ENSG00000105426,PTPRS,chr19,-,5218419,5219467,5218419,5218532,5219309,5219467,765,"70,70,75","31,28,21","33,23,34","26,29,32",926,149,8.63391641892e-06,0.0001593427743056,"0.267,0.287,0.365","0.17,0.113,0.146",0.163,777,98.33333333333334,59.0,PTPRS_chr19_-_5218419_5219467_5218419_5218532_5219309_5219467_777
831,ENSG00000220205,VAMP2,chr17,-,8160405,8161524,8160405,8160871,8161472,8161524,831,"110,171,146","143,95,102","239,225,219","74,65,78",750,149,3.64071517378e-09,1.675627921957017e-07,"0.133,0.263,0.221","0.391,0.407,0.358",-0.18,601,255.66666666666669,300.0,VAMP2_chr17_-_8160405_8161524_8160405_8160871_8161472_8161524_601
941,ENSG00000178971,CTC1,chr17,-,8229890,8230468,8229890,8230348,8230446,8230468,941,"41,48,26","0,0,0","26,38,34","4,5,3",247,149,2.01174283776e-06,4.492017290797988e-05,"1.0,1.0,1.0","0.797,0.821,0.872",0.17,98,38.333333333333336,36.666666666666664,CTC1_chr17_-_8229890_8230468_8229890_8230348_8230446_8230468_98
956,ENSG00000108604,SMARCD2,chr17,-,63833068,63833722,63833068,63833170,63833586,63833722,956,"10,12,10","1,0,0","10,9,10","1,3,2",565,149,7.69860534601e-05,0.0009712487556658,"0.725,1.0,1.0","0.725,0.442,0.569",0.33,416,11.0,11.666666666666666,SMARCD2_chr17_-_63833068_63833722_63833068_63833170_63833586_63833722_416
984,ENSG00000270647,TAF15,chr17,+,35820023,35820437,35820023,35820075,35820331,35820437,984,"26,26,23","1,1,2","41,37,26","20,13,19",405,149,3.91737130512e-08,1.3459871175564389e-06,"0.905,0.905,0.809","0.43,0.512,0.335",0.447,256,26.333333333333332,52.0,TAF15_chr17_+_35820023_35820437_35820023_35820075_35820331_35820437_256
1009,ENSG00000169733,RFNG,chr17,-,82049676,82050006,82049676,82049842,82049917,82050006,1009,"66,58,46","115,115,117","98,86,82","52,44,46",224,149,0.0,0.0,"0.276,0.251,0.207","0.556,0.565,0.542",-0.31,75,172.33333333333334,136.0,RFNG_chr17_-_82049676_82050006_82049676_82049842_82049917_82050006_75
1010,ENSG00000169733,RFNG,chr17,-,82049676,82050555,82049676,82050006,82050401,82050555,1010,"160,191,152","106,96,100","185,183,153","68,35,60",544,149,0.000547748819526,0.004721241008412,"0.293,0.353,0.294","0.427,0.589,0.411",-0.162,395,268.3333333333333,228.0,RFNG_chr17_-_82049676_82050555_82049676_82050006_82050401_82050555_395
1034,ENSG00000167861,HID1,chr17,-,74958326,74958763,74958326,74958478,74958672,74958763,1034,"2,0,9","24,22,9","13,8,8","9,10,8",343,149,0.000206122982902,0.0021676346410681,"0.035,0.0,0.303","0.386,0.258,0.303",-0.203,194,22.0,18.666666666666664,HID1_chr17_-_74958326_74958763_74958326_74958478_74958672_74958763_194
1060,ENSG00000177303,CASKIN2,chr17,-,75503388,75503760,75503388,75503527,75503658,75503760,1060,"1,5,5","21,19,26","14,16,8","17,25,15",280,149,6.56390777182e-05,0.0008511390668989,"0.025,0.123,0.093","0.305,0.254,0.221",-0.18,131,25.666666666666668,31.666666666666664,CASKIN2_chr17_-_75503388_75503760_75503388_75503527_75503658_75503760_131
1074,ENSG00000131462,TUBG1,chr17,+,42610422,42612143,42610422,42610629,42612074,42612143,1074,"66,78,78","1,1,2","101,93,96","13,9,11",1594,149,3.25143610858e-06,6.790674404922262e-05,"0.861,0.879,0.785","0.421,0.491,0.449",0.388,1445,75.33333333333333,107.66666666666667,TUBG1_chr17_+_42610422_42612143_42610422_42610629_42612074_42612143_1445
1120,ENSG00000131470,PSMC3IP,chr17,-,42573477,42574210,42573477,42573623,42574195,42574210,1120,"158,217,192","35,44,43","175,166,165","96,99,106",721,149,2.6687541065900004e-12,2.48727882734188e-10,"0.483,0.505,0.48","0.274,0.257,0.243",0.231,572,229.66666666666666,269.0,PSMC3IP_chr17_-_42573477_42574210_42573477_42573623_42574195_42574210_572
1156,ENSG00000185359,HGS,chr17,+,81696606,81696998,81696606,81696747,81696823,81696998,1156,"15,12,13","157,147,158","47,42,55","107,123,127",225,149,1.4432899320099999e-15,2.445720393878764e-13,"0.06,0.051,0.052","0.225,0.184,0.223",-0.156,76,167.33333333333334,167.0,HGS_chr17_+_81696606_81696998_81696606_81696747_81696823_81696998_76
1176,ENSG00000109103,UNC119,chr17,-,28546707,28547849,28546707,28547409,28547676,28547849,1176,"28,42,42","54,67,73","79,79,73","46,64,38",416,149,3.71382393727e-08,1.2819570035317183e-06,"0.157,0.183,0.171","0.381,0.307,0.408",-0.195,267,102.0,126.33333333333334,UNC119_chr17_-_28546707_28547849_28546707_28547409_28547676_28547849_267
1231,ENSG00000187838,PLSCR3,chr17,-,7393143,7393509,7393143,7393364,7393466,7393509,1231,"3,5,2","27,33,33","8,8,17","11,25,17",251,149,5.77327305851e-06,0.0001103731382673,"0.062,0.083,0.035","0.302,0.16,0.372",-0.218,102,34.333333333333336,28.666666666666668,PLSCR3_chr17_-_7393143_7393509_7393143_7393364_7393466_7393509_102
1291,ENSG00000103275,UBE2I,chr16,+,1315653,1320283,1315653,1315726,1319701,1320283,1291,"466,512,417","4,0,3","488,449,516","9,7,11",4124,149,0.000438889121889,0.0039189907698256,"0.808,1.0,0.834","0.662,0.699,0.629",0.217,3975,467.3333333333333,493.3333333333333,UBE2I_chr16_+_1315653_1320283_1315653_1315726_1319701_1320283_3975
1294,ENSG00000103275,UBE2I,chr16,+,1319701,1320283,1319701,1319990,1320173,1320283,1294,"55,61,60","0,0,0","73,55,51","11,14,12",332,149,4.618527782439999e-14,6.2610442083404804e-12,"1.0,1.0,1.0","0.749,0.638,0.656",0.319,183,58.666666666666664,72.0,UBE2I_chr16_+_1319701_1320283_1319701_1319990_1320173_1320283_183
