ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000156261"	"CCT8"	chr21	-	29066715	29067071	29066715	29066777	29066890	29067071	0	16,7,10	760,785,868	15,17,9	765,928,766	262	149	1	1.0	0.012,0.005,0.007	0.011,0.01,0.007	-0.001
3	"ENSG00000291050"	"TEKT4P2"	chr21	-	9068355	9069599	9068355	9068659	9069444	9069599	3	65,56,76	8,14,22	54,46,59	14,3,13	934	149	0.584830892294	0.9240057741455319	0.564,0.39,0.355	0.381,0.71,0.42	-0.067
4	"ENSG00000291050"	"TEKT4P2"	chr21	-	9068359	9069599	9068359	9068629	9069444	9069599	4	73,64,84	2,0,5	62,48,64	1,2,2	964	149	0.665302397462	1.0	0.849,1.0,0.722	0.906,0.788,0.832	0.015
5	"ENSG00000291050"	"TEKT4P2"	chr21	-	9069444	9070444	9069444	9069599	9070213	9070444	5	4,1,5	6,2,1	4,1,8	1,2,3	763	149	0.427017520324	0.7475540710864158	0.115,0.089,0.494	0.439,0.089,0.342	-0.057
6	"ENSG00000291050"	"TEKT4P2"	chr21	-	9069444	9070444	9069444	9069626	9070213	9070444	6	3,0,5	1,2,4	4,1,8	1,1,0	736	149	0.0909927662768	0.22454040355604177	0.378,0.0,0.202	0.447,0.168,1.0	-0.345
7	"ENSG00000291050"	"TEKT4P2"	chr21	-	9069444	9070444	9069444	9069722	9070213	9070444	7	1,0,3	1,3,1	3,1,7	1,0,1	640	149	0.000520788010245	0.0027950071727567134	0.189,0.0,0.411	0.411,1.0,0.62	-0.477
8	"ENSG00000278932"	NA	chr21	+	9325014	9325823	9325014	9325223	9325604	9325823	8	13,11,6	2,2,2	14,6,6	3,1,0	530	149	0.420862093429	0.740154644648177	0.646,0.607,0.458	0.567,0.628,1.0	-0.161
16	"ENSG00000160223"	"ICOSLG"	chr21	-	44226833	44230089	44226833	44229044	44230053	44230089	16	6,0,6	0,2,0	0,2,6	0,0,0	1158	149	1	1.0	1.0,0.0,1.0	NA,1.0,1.0	-0.333
19	"ENSG00000182670"	"TTC3"	chr21	+	37087832	37088346	37087832	37087875	37088195	37088346	19	3,3,4	42,43,28	6,6,2	23,19,20	469	149	0.0410030276029	0.11634028850800193	0.022,0.022,0.043	0.077,0.091,0.031	-0.037
20	"ENSG00000182670"	"TTC3"	chr21	+	37201439	37203080	37201439	37201570	37202283	37203080	20	994,1053,950	1,3,0	631,702,637	0,1,1	862	149	1	1.0	0.994,0.984,1.0	1.0,0.992,0.991	-0.002
