ID,GeneID,geneSymbol,chr,strand,longExonStart_0base,longExonEnd,shortES,shortEE,flankingES,flankingEE,ID.1,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,Distance,MeanCounts_SAMPLE_1,MeanCounts_SAMPLE_2,event_id
89,ENSG00000182944,EWSR1,chr22,+,29273737,29273864,29273740,29273864,29268008,29268349,89,"19,15,15","0,0,0","18,12,15","1,5,2",152,149,0.000187369266549,0.0039917460827709,"1.0,1.0,1.0","0.946,0.702,0.88",0.157,3,16.333333333333332,17.666666666666668,EWSR1_chr22_+_29273737_29273864_29273740_29273864_29268008_29268349_3
1864,ENSG00000178999,AURKB,chr17,-,8207175,8207370,8207175,8207367,8207570,8207625,1864,"18,30,30","619,620,697","60,47,51","409,289,385",152,149,8.881784196999999e-16,1.279227115472141e-13,"0.028,0.045,0.04","0.126,0.137,0.115",-0.088,3,671.3333333333334,413.6666666666667,AURKB_chr17_-_8207175_8207370_8207175_8207367_8207570_8207625_3
2224,ENSG00000168488,ATXN2L,chr16,+,28835545,28835758,28835548,28835758,28835277,28835399,2224,"87,83,92","497,548,416","75,40,79","296,120,253",152,149,0.000375138937585,0.0071437072174007,"0.146,0.129,0.178","0.199,0.246,0.234",-0.075,3,574.3333333333334,287.6666666666667,ATXN2L_chr16_+_28835545_28835758_28835548_28835758_28835277_28835399_3
2275,ENSG00000033011,ALG1,chr16,+,5082555,5082673,5082558,5082673,5080945,5081056,2275,"0,1,2","41,31,45","2,3,12","31,41,31",152,149,6.94970582449e-05,0.0017418551902263,"0.0,0.031,0.042","0.059,0.067,0.275",-0.109,3,40.0,40.0,ALG1_chr16_+_5082555_5082673_5082558_5082673_5080945_5081056_3
3109,ENSG00000092199,HNRNPC,chr14,-,21211405,21211566,21211405,21211563,21211809,21211923,3109,"4387,4177,4300","126,95,174","3424,3584,3195","144,178,149",152,149,0.000111811402864,0.0025985986492892,"0.972,0.977,0.96","0.959,0.952,0.955",0.014,3,4419.666666666667,3558.0,HNRNPC_chr14_-_21211405_21211566_21211405_21211563_21211809_21211923_3
4820,ENSG00000100650,SRSF5,chr14,+,69771193,69772005,69771196,69772005,69768137,69768282,4820,"36,40,39","0,0,0","57,56,66","10,11,4",152,149,6.70177362494e-08,3.393865971642712e-06,"1.0,1.0,1.0","0.848,0.833,0.942",0.126,3,38.333333333333336,68.0,SRSF5_chr14_+_69771193_69772005_69771196_69772005_69768137_69768282_3
4824,ENSG00000100650,SRSF5,chr14,+,69771193,69772005,69771196,69772005,69768603,69768674,4824,"36,40,39","0,0,0","53,56,66","13,8,8",152,149,5.07510078407e-09,3.326793629352553e-07,"1.0,1.0,1.0","0.8,0.873,0.89",0.146,3,38.333333333333336,68.0,SRSF5_chr14_+_69771193_69772005_69771196_69772005_69768603_69768674_3
4830,ENSG00000100650,SRSF5,chr14,+,69771193,69772005,69771196,69772005,69770466,69770540,4830,"36,40,39","0,0,0","62,55,70","21,14,17",152,149,1.98174809896e-13,2.384159536466466e-11,"1.0,1.0,1.0","0.743,0.794,0.801",0.221,3,38.333333333333336,79.66666666666667,SRSF5_chr14_+_69771193_69772005_69771196_69772005_69770466_69770540_3
4831,ENSG00000100650,SRSF5,chr14,+,69771193,69772005,69771196,69772005,69770994,69771105,4831,"886,879,819","47,82,94","815,691,785","116,122,139",152,149,5.40728766207e-08,2.865021949861545e-06,"0.949,0.913,0.895","0.873,0.847,0.847",0.063,3,935.6666666666667,889.3333333333333,SRSF5_chr14_+_69771193_69772005_69771196_69772005_69770994_69771105_3
5635,ENSG00000169714,CNBP,chr3,-,129171078,129171280,129171078,129171277,129171445,129171538,5635,"510,526,491","1396,1442,1465","395,325,378","1798,1801,1641",152,149,1.36615420088e-08,8.075313790866405e-07,"0.264,0.263,0.247","0.177,0.15,0.184",0.088,3,1943.3333333333333,2112.666666666667,CNBP_chr3_-_129171078_129171280_129171078_129171277_129171445_129171538_3
6459,ENSG00000265241,RBM8A,chr1,-,145926808,145926886,145926808,145926883,145927017,145927077,6459,"1685,1609,1758","249,178,229","1900,1904,1833","423,421,356",152,149,2.74055363847e-07,1.2511116744193849e-05,"0.869,0.899,0.883","0.815,0.816,0.835",0.062,3,1902.6666666666667,2279.0,RBM8A_chr1_-_145926808_145926886_145926808_145926883_145927017_145927077_3
6742,ENSG00000103342,GSPT1,chr16,-,11896557,11896785,11896557,11896782,11897993,11898035,6742,"11,12,15","0,0,0","11,31,24","7,3,4",152,149,3.75998675228e-06,0.0001363461862723,"1.0,1.0,1.0","0.606,0.91,0.855",0.21,3,12.666666666666666,26.666666666666668,GSPT1_chr16_-_11896557_11896785_11896557_11896782_11897993_11898035_3
7624,ENSG00000288701,PRRC2B,chr9,+,131491421,131491580,131491424,131491580,131487855,131488096,7624,"29,19,27","200,204,213","23,23,34","104,68,104",152,149,9.00932392001e-06,0.0002934055618026,"0.124,0.084,0.111","0.178,0.249,0.243",-0.117,3,230.66666666666666,118.66666666666667,PRRC2B_chr9_+_131491421_131491580_131491424_131491580_131487855_131488096_3
12111,ENSG00000171681,ATF7IP,chr12,+,14434336,14434423,14434339,14434423,14423908,14425473,12111,"13,16,8","7,3,2","10,5,11","15,14,10",152,149,0.00035735360369,0.0068885934532673,"0.645,0.839,0.797","0.395,0.259,0.519",0.369,3,16.333333333333336,21.666666666666664,ATF7IP_chr12_+_14434336_14434423_14434339_14434423_14423908_14425473_3
12647,ENSG00000122545,SEPTIN7,chr7,+,35831491,35831496,35831494,35831496,35801185,35801270,12647,"137,127,170","60,46,65","75,75,58","60,54,77",152,149,7.76805626868e-06,0.000261303103301,"0.691,0.73,0.719","0.551,0.577,0.425",0.196,3,201.66666666666666,133.0,SEPTIN7_chr7_+_35831491_35831496_35831494_35831496_35801185_35801270_3
14018,ENSG00000130204,TOMM40,chr19,+,44891406,44891689,44891409,44891689,44891219,44891314,14018,"371,354,401","72,75,83","266,274,272","82,94,99",152,149,9.23049718924e-05,0.0022209662178157,"0.835,0.822,0.826","0.761,0.741,0.729",0.084,3,452.0,362.33333333333337,TOMM40_chr19_+_44891406_44891689_44891409_44891689_44891219_44891314_3
14629,ENSG00000198561,CTNND1,chr11,+,57816296,57818445,57816299,57818445,57815393,57815500,14629,"126,180,159","12,4,9","92,88,109","22,16,14",152,149,2.11798309091e-06,7.962682017516787e-05,"0.911,0.978,0.945","0.804,0.844,0.884",0.101,3,163.33333333333334,113.66666666666666,CTNND1_chr11_+_57816296_57818445_57816299_57818445_57815393_57815500_3
14743,ENSG00000149269,PAK1,chr11,-,77392330,77392541,77392330,77392538,77473551,77474094,14743,"44,40,44","5,3,5","28,28,20","0,0,0",152,149,7.09586910339e-05,0.0017741407689796,"0.896,0.929,0.896","1.0,1.0,1.0",-0.093,3,47.0,25.333333333333332,PAK1_chr11_-_77392330_77392541_77392330_77392538_77473551_77474094_3
14815,ENSG00000162231,NXF1,chr11,-,62796286,62796345,62796286,62796342,62796459,62796567,14815,"85,83,91","1,0,0","199,147,178","7,9,8",152,149,0.000114971330723,0.0026561499306488,"0.988,1.0,1.0","0.965,0.941,0.956",0.042,3,86.66666666666666,182.66666666666666,NXF1_chr11_-_62796286_62796345_62796286_62796342_62796459_62796567_3
14830,ENSG00000173153,ESRRA,chr11,+,64314740,64314911,64314743,64314911,64314238,64314367,14830,"197,207,189","9,17,12","94,76,99","16,9,18",152,149,0.000309731743224,0.0061382108647453,"0.955,0.923,0.939","0.852,0.892,0.844",0.076,3,210.33333333333331,104.0,ESRRA_chr11_+_64314740_64314911_64314743_64314911_64314238_64314367_3
16298,ENSG00000197111,PCBP2,chr12,+,53468776,53468832,53468779,53468832,53467220,53467293,16298,"462,468,418","32,48,46","336,203,295","62,33,62",152,149,4.16736412268e-06,0.0001490051241906,"0.934,0.905,0.899","0.842,0.858,0.823",0.072,3,491.3333333333333,330.3333333333333,PCBP2_chr12_+_53468776_53468832_53468779_53468832_53467220_53467293_3
16326,ENSG00000078674,PCM1,chr8,+,17957536,17957775,17957539,17957775,17957263,17957421,16326,"0,0,1","20,33,26","6,5,1","20,22,16",152,149,8.21439719845e-06,0.0002718259048576,"0.0,0.0,0.036","0.227,0.182,0.058",-0.144,3,26.666666666666664,23.333333333333332,PCM1_chr8_+_17957536_17957775_17957539_17957775_17957263_17957421_3
