ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000156261"	"CCT8"	chr21	-	29066715	29067071	29066715	29066777	29066890	29067071	0	16,7,10	760,785,868	9,20,10	593,612,623	262	149	0.675090072273	0.9758937144995756	0.012,0.005,0.007	0.009,0.018,0.009	-0.004
3	"ENSG00000291050"	"TEKT4P2"	chr21	-	9068355	9069599	9068355	9068659	9069444	9069599	3	65,56,76	8,14,22	47,23,44	10,5,9	934	149	0.892318447896	1.0	0.564,0.39,0.355	0.429,0.423,0.438	0.006
4	"ENSG00000291050"	"TEKT4P2"	chr21	-	9068359	9069599	9068359	9068629	9069444	9069599	4	73,64,84	2,0,5	53,27,49	0,1,1	964	149	0.0108261415777	0.029563694308334616	0.849,1.0,0.722	1.0,0.807,0.883	-0.04
5	"ENSG00000291050"	"TEKT4P2"	chr21	-	9069444	9070444	9069444	9069599	9070213	9070444	5	4,1,5	6,2,1	0,1,3	2,2,4	763	149	0.103054046382	0.21617928366042272	0.115,0.089,0.494	0.0,0.089,0.128	0.16
6	"ENSG00000291050"	"TEKT4P2"	chr21	-	9069444	9070444	9069444	9069626	9070213	9070444	6	3,0,5	1,2,4	0,0,3	0,0,2	736	149	1	1.0	0.378,0.0,0.202	NA,NA,0.233	-0.04
7	"ENSG00000291050"	"TEKT4P2"	chr21	-	9069444	9070444	9069444	9069722	9070213	9070444	7	1,0,3	1,3,1	0,0,1	0,0,0	640	149	1	1.0	0.189,0.0,0.411	NA,NA,1.0	-0.8
8	"ENSG00000278932"	NA	chr21	+	9325014	9325823	9325014	9325223	9325604	9325823	8	13,11,6	2,2,2	14,8,9	2,1,0	530	149	0.0627048622441	0.14088012205993478	0.646,0.607,0.458	0.663,0.692,1.0	-0.215
16	"ENSG00000160223"	"ICOSLG"	chr21	-	44226833	44230089	44226833	44229044	44230053	44230089	16	6,0,6	0,2,0	6,3,0	0,0,0	1158	149	1	1.0	1.0,0.0,1.0	1.0,1.0,NA	-0.333
19	"ENSG00000182670"	"TTC3"	chr21	+	37087832	37088346	37087832	37087875	37088195	37088346	19	3,3,4	42,43,28	2,3,3	22,11,11	469	149	0.35223459371	0.6007391571044065	0.022,0.022,0.043	0.028,0.08,0.08	-0.034
20	"ENSG00000182670"	"TTC3"	chr21	+	37201439	37203080	37201439	37201570	37202283	37203080	20	994,1053,950	1,3,0	501,441,530	1,0,0	862	149	1	1.0	0.994,0.984,1.0	0.989,1.0,1.0	-0.004
21	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46246306	46246404	46246627	46246886	21	41,58,51	110,58,77	82,42,64	42,27,52	372	149	1.38016663643e-05	6.722394751582533e-05	0.13,0.286,0.21	0.439,0.384,0.33	-0.176
22	"ENSG00000160285"	"LSS"	chr21	-	46188445	46191235	46188445	46188821	46191075	46191235	22	2363,2330,2331	8,15,7	1287,959,1211	4,6,7	2403	149	0.934393051339	1.0	0.948,0.906,0.954	0.952,0.908,0.915	0.011
28	"ENSG00000154734"	"ADAMTS1"	chr21	-	26838438	26839762	26838438	26838614	26839586	26839762	28	19,32,41	287,306,289	42,49,58	147,84,117	1121	149	0	0.0	0.009,0.014,0.019	0.037,0.072,0.062	-0.043
29	"ENSG00000154734"	"ADAMTS1"	chr21	-	26839874	26840562	26839874	26840061	26840275	26840562	29	31,36,38	185,192,189	42,23,22	98,78,77	363	149	0.00116437665703	0.003978601219578677	0.064,0.071,0.076	0.15,0.108,0.105	-0.051
31	"ENSG00000185917"	"SETD4"	chr21	-	36034540	36036251	36034540	36035960	36036084	36036251	31	8,11,11	18,21,13	21,8,8	16,5,11	273	149	0.0620225744204	0.1395413435466891	0.195,0.222,0.316	0.417,0.466,0.284	-0.145
32	"ENSG00000241945"	"PWP2"	chr21	+	44120951	44122357	44120951	44121102	44122176	44122357	32	1,1,0	48,41,47	0,1,1	21,27,28	1223	149	1	1.0	0.003,0.003,0.0	0.0,0.004,0.004	-0.001
33	"ENSG00000241945"	"PWP2"	chr21	+	44124579	44126119	44124579	44124727	44126010	44126119	33	2,3,0	60,35,53	0,0,3	34,15,32	1432	149	1	1.0	0.003,0.009,0.0	0.0,0.0,0.01	0.001
35	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32573283	32574676	32573283	32573368	32574575	32574676	35	7,6,6	0,0,0	26,2,22	0,0,1	1356	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.707	0.098
38	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44316339	44313912	44314021	44316243	44316339	38	127,222,174	384,363,375	143,77,146	183,197,166	2371	149	0.00285664173211	0.008903943668172326	0.02,0.037,0.028	0.047,0.024,0.052	-0.013
39	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44320147	44319350	44319415	44320083	44320147	39	102,126,118	373,364,348	92,47,80	188,162,157	817	149	0.0285949843372	0.07092555067043493	0.048,0.059,0.058	0.082,0.05,0.085	-0.017
40	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44321875	44319350	44320147	44321728	44321875	40	83,83,76	349,357,333	39,17,65	194,190,174	1730	149	0.527517466142	0.8198671795395766	0.02,0.02,0.019	0.017,0.008,0.031	0.001
41	"ENSG00000141959"	"PFKL"	chr21	+	44324855	44326060	44324855	44324917	44325960	44326060	41	220,211,199	2,0,3	199,144,192	3,1,2	1192	149	0.544420591379	0.8372535097089829	0.932,1.0,0.892	0.892,0.947,0.923	0.021
42	"ENSG00000241837"	"ATP5PO"	chr21	-	33906448	33907453	33906448	33906500	33907340	33907453	42	41,47,37	2,0,0	96,62,83	2,0,3	989	149	0.0743569453315	0.16350556412382253	0.755,1.0,1.0	0.879,1.0,0.807	0.023
45	"ENSG00000186575"	"NF2"	chr22	+	29683019	29683915	29683019	29683064	29683700	29683915	45	4,11,5	2,0,0	11,11,3	0,0,1	785	149	0.495949668937	0.7828329105239008	0.275,1.0,1.0	1.0,1.0,0.363	-0.029
46	"ENSG00000138942"	"RNF185"	chr22	+	31204488	31207013	31204488	31204966	31205376	31207013	46	266,213,246	0,1,0	265,292,308	1,0,0	559	149	1	1.0	1.0,0.983,1.0	0.986,1.0,1.0	-0.001
47	"ENSG00000185133"	"INPP5J"	chr22	+	31124844	31126010	31124844	31124906	31125832	31126010	47	83,64,55	2,0,0	46,15,31	0,1,0	1075	149	1	1.0	0.852,1.0,1.0	1.0,0.675,1.0	0.059
