ID,GeneID,geneSymbol,chr,strand,riExonStart_0base,riExonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID.1,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,Distance,MeanCounts_SAMPLE_1,MeanCounts_SAMPLE_2,event_id
43,ENSG00000241837,ATP5PO,chr21,-,33906448,33907453,33906448,33906500,33907340,33907453,43,"41,47,37","2,0,0","76,69,69","5,4,4",989,149,0.000307743311388,0.001767702030807,"0.755,1.0,1.0","0.696,0.722,0.722",0.205,840,42.33333333333333,75.66666666666666,ATP5PO_chr21_-_33906448_33907453_33906448_33906500_33907340_33907453_840
141,ENSG00000187860,CCDC157,chr22,+,30370325,30371727,30370325,30370950,30371649,30371727,141,"6,3,8","1,7,5","36,24,53","3,6,5",848,149,0.00125803003814,0.0060069505781309,"0.513,0.07,0.219","0.678,0.413,0.651",-0.313,699,10.0,42.33333333333333,CCDC157_chr22_+_30370325_30371727_30370325_30370950_30371649_30371727_699
157,ENSG00000161179,YDJC,chr22,-,21629009,21629407,21629009,21629187,21629307,21629407,157,"93,96,93","442,417,389","146,126,156","234,167,263",269,149,0.0,0.0,"0.104,0.113,0.117","0.257,0.295,0.247",-0.155,120,510.0,364.0,YDJC_chr22_-_21629009_21629407_21629009_21629187_21629307_21629407_120
159,ENSG00000161179,YDJC,chr22,-,21629009,21629761,21629009,21629407,21629601,21629761,159,"387,365,441","303,275,293","452,377,485","154,148,146",343,149,1.52144963295e-12,4.39991530390425e-11,"0.357,0.366,0.395","0.56,0.525,0.591",-0.186,194,688.0,587.3333333333334,YDJC_chr22_-_21629009_21629761_21629009_21629407_21629601_21629761_194
165,ENSG00000128159,TUBGCP6,chr22,-,50217917,50218402,50217917,50218117,50218188,50218402,165,"22,36,25","44,48,37","70,44,70","33,39,43",220,149,4.794849009e-05,0.0003486699197163,"0.253,0.337,0.314","0.59,0.433,0.524",-0.214,71,70.66666666666667,99.66666666666667,TUBGCP6_chr22_-_50217917_50218402_50217917_50218117_50218188_50218402_71
188,ENSG00000100359,SGSM3,chr22,+,40408932,40409372,40408932,40409018,40409249,40409372,188,"123,164,157","66,76,78","212,171,213","38,63,55",380,149,0.000452703740131,0.0025028525162095,"0.422,0.458,0.441","0.686,0.516,0.603",-0.161,231,221.33333333333331,250.66666666666666,SGSM3_chr22_+_40408932_40409372_40408932_40409018_40409249_40409372_231
300,ENSG00000105397,TYK2,chr19,-,10353527,10354234,10353527,10353646,10354041,10354234,300,"101,101,87","57,60,76","177,90,174","38,27,33",544,149,2.18708695598e-09,3.9721514062834843e-08,"0.327,0.316,0.239","0.561,0.477,0.591",-0.249,395,160.66666666666666,179.66666666666666,TYK2_chr19_-_10353527_10354234_10353527_10353646_10354041_10354234_395
369,ENSG00000141994,DUS3L,chr19,-,5786748,5787171,5786748,5786919,5787060,5787171,369,"1,8,18","12,15,18","44,32,61","18,7,12",290,149,3.52883676169e-07,4.145831814241735e-06,"0.041,0.215,0.339","0.557,0.701,0.723",-0.462,141,24.0,58.0,DUS3L_chr19_-_5786748_5787171_5786748_5786919_5787060_5787171_141
391,ENSG00000105696,TMEM59L,chr19,+,18618154,18618492,18618154,18618272,18618374,18618492,391,"23,23,15","65,92,69","31,27,43","37,25,26",251,149,1.91820503925e-09,3.5264018802251225e-08,"0.174,0.129,0.114","0.332,0.391,0.495",-0.267,102,95.66666666666666,63.0,TMEM59L_chr19_+_18618154_18618492_18618154_18618272_18618374_18618492_102
402,ENSG00000170889,RPS9,chr19,+,54206275,54206724,54206275,54206462,54206552,54206724,402,"106,103,123","263,258,246","178,213,202","188,221,171",239,149,4.52970994047e-13,1.4431732645082174e-11,"0.201,0.199,0.238","0.371,0.375,0.424",-0.177,90,366.3333333333333,391.0,RPS9_chr19_+_54206275_54206724_54206275_54206462_54206552_54206724_90
403,ENSG00000170889,RPS9,chr19,+,54206552,54207647,54206552,54206724,54207397,54207647,403,"232,265,311","230,246,205","497,479,532","169,178,168",822,149,1.11022302463e-16,5.6025281356999794e-15,"0.155,0.163,0.216","0.348,0.328,0.365",-0.169,673,496.3333333333333,674.3333333333334,RPS9_chr19_+_54206552_54207647_54206552_54206724_54207397_54207647_673
453,ENSG00000142541,RPL13A,chr19,+,49489849,49490297,49489849,49489912,49490231,49490297,453,"252,225,227","1036,1094,1130","1016,963,868","757,885,788",468,149,0.0,0.0,"0.072,0.061,0.06","0.299,0.257,0.26",-0.208,319,1321.3333333333335,1759.0,RPL13A_chr19_+_49489849_49490297_49489849_49489912_49490231_49490297_319
503,ENSG00000115268,RPS15,chr19,+,1438806,1440253,1438806,1438892,1439960,1440253,503,"184,175,224","8,13,15","553,403,481","15,13,6",1217,149,0.000540042854677,0.0028839849368447,"0.738,0.622,0.646","0.819,0.791,0.908",-0.171,1068,206.33333333333334,490.3333333333333,RPS15_chr19_+_1438806_1440253_1438806_1438892_1439960_1440253_1068
521,ENSG00000130811,EIF3G,chr19,-,10118867,10119171,10118867,10118956,10119066,10119171,521,"34,57,41","24,36,25","109,75,91","28,26,32",259,149,0.000349109551027,0.0019766225257319,"0.449,0.477,0.485","0.691,0.624,0.621",-0.175,110,72.33333333333333,120.33333333333334,EIF3G_chr19_-_10118867_10119171_10118867_10118956_10119066_10119171_110
572,ENSG00000064545,TMEM161A,chr19,-,19132351,19132754,19132351,19132433,19132656,19132754,572,"151,149,149","5,7,9","142,143,142","18,26,22",372,149,1.19316834224e-06,1.2425807154158671e-05,"0.924,0.895,0.869","0.76,0.688,0.721",0.173,223,156.66666666666666,164.33333333333334,TMEM161A_chr19_-_19132351_19132754_19132351_19132433_19132656_19132754_223
738,ENSG00000088970,KIZ,chr20,+,21244244,21246622,21244244,21244288,21246478,21246622,738,"269,351,316","18,14,19","130,125,129","24,12,16",2339,149,0.00028914677567,0.001680134935288,"0.488,0.615,0.514","0.257,0.399,0.339",0.207,2190,329.0,145.33333333333334,KIZ_chr20_+_21244244_21246622_21244244_21244288_21246478_21246622_2190
825,ENSG00000163597,SNHG16,chr17,+,76557969,76558600,76557969,76558279,76558373,76558600,825,"19,11,6","10,9,6","19,17,23","4,2,6",243,149,0.0018153280817,0.0082573816372064,"0.538,0.428,0.38","0.744,0.839,0.702",-0.313,94,20.333333333333336,23.666666666666668,SNHG16_chr17_+_76557969_76558600_76557969_76558279_76558373_76558600_94
839,ENSG00000220205,VAMP2,chr17,-,8160405,8161524,8160405,8160871,8161472,8161524,839,"110,171,146","143,95,102","187,135,175","73,48,49",750,149,1.85570173228e-07,2.3223431101507173e-06,"0.133,0.263,0.221","0.337,0.358,0.415",-0.164,601,255.66666666666669,222.33333333333331,VAMP2_chr17_-_8160405_8161524_8160405_8160871_8161472_8161524_601
942,ENSG00000178971,CTC1,chr17,-,8228502,8229446,8228502,8228629,8228726,8229446,942,"7,8,5","27,27,29","13,9,14","26,11,18",246,149,0.00200107838928,0.0089881173291495,"0.136,0.152,0.095","0.232,0.331,0.32",-0.167,97,34.333333333333336,30.333333333333332,CTC1_chr17_-_8228502_8229446_8228502_8228629_8228726_8229446_97
965,ENSG00000108604,SMARCD2,chr17,-,63833068,63833722,63833068,63833170,63833586,63833722,965,"10,12,10","1,0,0","35,20,14","0,5,2",565,149,0.000149114824489,0.0009437663007851,"0.725,1.0,1.0","1.0,0.513,0.649",0.188,416,11.0,25.333333333333332,SMARCD2_chr17_-_63833068_63833722_63833068_63833170_63833586_63833722_416
993,ENSG00000270647,TAF15,chr17,+,35820023,35820437,35820023,35820075,35820331,35820437,993,"26,26,23","1,1,2","39,28,27","19,19,14",405,149,2.87700685497e-09,5.054255734233512e-08,"0.905,0.905,0.809","0.43,0.352,0.415",0.474,256,26.333333333333332,48.666666666666664,TAF15_chr17_+_35820023_35820437_35820023_35820075_35820331_35820437_256
995,ENSG00000076604,TRAF4,chr17,+,28747842,28748178,28747842,28747947,28748016,28748178,995,"8,10,8","97,63,78","68,56,64","80,74,76",218,149,0.0,0.0,"0.053,0.098,0.066","0.367,0.341,0.365",-0.285,69,88.0,139.33333333333334,TRAF4_chr17_+_28747842_28748178_28747842_28747947_28748016_28748178_69
1018,ENSG00000169733,RFNG,chr17,-,82049676,82050006,82049676,82049842,82049917,82050006,1018,"66,58,46","115,115,117","105,77,130","81,49,70",224,149,7.449596495229999e-14,2.6929575022901138e-12,"0.276,0.251,0.207","0.463,0.511,0.553",-0.264,75,172.33333333333334,170.66666666666669,RFNG_chr17_-_82049676_82050006_82049676_82049842_82049917_82050006_75
1019,ENSG00000169733,RFNG,chr17,-,82049676,82050555,82049676,82050006,82050401,82050555,1019,"160,191,152","106,96,100","286,210,278","66,41,62",544,149,1.00919272938e-13,3.613390539146772e-12,"0.293,0.353,0.294","0.543,0.584,0.551",-0.246,395,268.3333333333333,314.3333333333333,RFNG_chr17_-_82049676_82050555_82049676_82050006_82050401_82050555_395
1044,ENSG00000167861,HID1,chr17,-,74958326,74958763,74958326,74958478,74958672,74958763,1044,"2,0,9","24,22,9","11,14,8","10,7,12",343,149,0.000176672998835,0.0010969482066394,"0.035,0.0,0.303","0.323,0.465,0.225",-0.225,194,22.0,20.666666666666664,HID1_chr17_-_74958326_74958763_74958326_74958478_74958672_74958763_194
1045,ENSG00000167861,HID1,chr17,-,74962964,74964632,74962964,74963081,74964482,74964632,1045,"15,8,16","0,0,2","23,18,33","5,8,6",1550,149,0.000571241279881,0.0030290290433182,"1.0,1.0,0.435","0.307,0.178,0.346",0.535,1401,13.666666666666666,31.0,HID1_chr17_-_74962964_74964632_74962964_74963081_74964482_74964632_1401
1046,ENSG00000161513,FDXR,chr17,-,74863895,74864347,74863895,74864067,74864147,74864347,1046,"7,8,4","49,40,44","46,33,36","74,67,54",229,149,1.05858088961e-08,1.697115076541064e-07,"0.085,0.115,0.056","0.288,0.243,0.303",-0.193,80,50.66666666666667,103.33333333333334,FDXR_chr17_-_74863895_74864347_74863895_74864067_74864147_74864347_80
1066,ENSG00000108479,GALK1,chr17,-,75762703,75763439,75762703,75762885,75763319,75763439,1066,"24,17,20","0,2,0","24,22,25","7,3,6",583,149,2.29407129378e-05,0.0001785623401442,"1.0,0.685,1.0","0.467,0.652,0.516",0.35,434,21.0,29.0,GALK1_chr17_-_75762703_75763439_75762703_75762885_75763319_75763439_434
