ID,GeneID,geneSymbol,chr,strand,longExonStart_0base,longExonEnd,shortES,shortEE,flankingES,flankingEE,ID.1,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,Distance,MeanCounts_SAMPLE_1,MeanCounts_SAMPLE_2,event_id
385,ENSG00000125753,VASP,chr19,+,45523840,45523877,45523843,45523877,45523643,45523695,385,"107,118,133","10,13,16","81,92,57","22,24,28",152,149,3.97918145989e-06,0.0001495426797579,"0.913,0.899,0.891","0.783,0.79,0.666",0.155,3,132.33333333333331,101.33333333333334,VASP_chr19_+_45523840_45523877_45523843_45523877_45523643_45523695_3
747,ENSG00000167685,ZNF444,chr19,+,56159623,56160893,56159626,56160893,56158493,56158602,747,"81,80,63","48,34,41","47,37,65","42,60,69",152,149,0.000322454213273,0.0065082326714449,"0.623,0.698,0.601","0.523,0.377,0.48",0.181,3,115.66666666666667,106.66666666666666,ZNF444_chr19_+_56159623_56160893_56159626_56160893_56158493_56158602_3
1446,ENSG00000170004,CHD3,chr17,+,7907890,7908019,7907893,7908019,7907352,7907488,1446,"19,34,34","58,70,55","11,9,15","74,50,54",152,149,0.000318607921421,0.0064560690295071,"0.243,0.323,0.377","0.127,0.15,0.214",0.151,3,90.0,71.0,CHD3_chr17_+_7907890_7908019_7907893_7908019_7907352_7907488_3
2461,ENSG00000089280,FUS,chr16,+,31183857,31184002,31183860,31184002,31182397,31182422,2461,"21,21,25","0,0,0","46,56,40","4,4,4",152,149,0.000352544108772,0.0069644476159534,"1.0,1.0,1.0","0.919,0.932,0.907",0.081,3,22.333333333333332,51.333333333333336,FUS_chr16_+_31183857_31184002_31183860_31184002_31182397_31182422_3
3101,ENSG00000092199,HNRNPC,chr14,-,21211405,21211566,21211405,21211563,21211809,21211923,3101,"4387,4177,4300","126,95,174","3486,3444,3418","173,144,156",152,149,0.000158481136908,0.0036197771515178,"0.972,0.977,0.96","0.952,0.959,0.956",0.014,3,4419.666666666667,3607.0,HNRNPC_chr14_-_21211405_21211566_21211405_21211563_21211809_21211923_3
5558,ENSG00000010295,IFFO1,chr12,-,6548064,6548160,6548064,6548157,6548424,6548545,5558,"49,45,39","23,28,18","36,28,31","34,35,44",152,149,0.000152464116351,0.0035230599666094,"0.676,0.612,0.68","0.509,0.44,0.409",0.203,3,67.33333333333334,69.33333333333333,IFFO1_chr12_-_6548064_6548160_6548064_6548157_6548424_6548545_3
6776,ENSG00000116141,MARK1,chr1,+,220653097,220653352,220653100,220653352,220651985,220652150,6776,"8,5,5","25,29,20","1,1,1","22,16,14",152,149,0.00046484931335,0.0087602265626345,"0.239,0.145,0.197","0.043,0.058,0.065",0.138,3,30.666666666666668,18.333333333333332,MARK1_chr1_+_220653097_220653352_220653100_220653352_220651985_220652150_3
6925,ENSG00000111011,RSRC2,chr12,-,122508217,122508450,122508217,122508447,122511108,122511188,6925,"190,190,207","156,221,196","139,170,159","291,316,305",152,149,4.44131120769e-09,3.1561067769647064e-07,"0.544,0.457,0.509","0.319,0.345,0.338",0.169,3,386.66666666666663,460.0,RSRC2_chr12_-_122508217_122508450_122508217_122508447_122511108_122511188_3
8811,ENSG00000116560,SFPQ,chr1,-,35176377,35176474,35176377,35176471,35177318,35177399,8811,"65,70,80","49,52,55","43,58,58","106,116,102",152,149,1.72897141049e-10,1.5796932538878722e-08,"0.565,0.569,0.588","0.285,0.329,0.358",0.25,3,123.66666666666667,161.0,SFPQ_chr1_-_35176377_35176474_35176377_35176471_35177318_35177399_3
8836,ENSG00000138386,NAB1,chr2,+,190685475,190685638,190685478,190685638,190683737,190683827,8836,"47,41,70","6,6,8","24,24,21","8,8,14",152,149,0.000351906383812,0.0069644476159534,"0.885,0.87,0.896","0.746,0.746,0.595",0.188,3,59.33333333333333,33.0,NAB1_chr2_+_190685475_190685638_190685478_190685638_190683737_190683827_3
