ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000142173"	"COL6A2"	chr21	+	46125416	46125617	46125464	46125617	46124884	46124920	1	2,0,3	5,5,6	1,1,1	11,3,5	197	149	0.312206922709	1.0	0.232,0.0,0.274	0.064,0.201,0.131	0.037
2	"ENSG00000142173"	"COL6A2"	chr21	+	46125416	46125617	46125464	46125617	46125265	46125311	2	2,0,2	149,129,137	1,1,3	78,73,70	197	149	0.722286222861	1.0	0.01,0.0,0.011	0.01,0.01,0.031	-0.01
3	"ENSG00000156261"	"CCT8"	chr21	-	29066715	29067071	29066715	29066777	29067555	29067705	3	935,927,1035	0,0,0	958,1056,873	1,1,0	443	149	1	1.0	1.0,1.0,1.0	0.997,0.997,1.0	0.002
6	"ENSG00000291050"	"TEKT4P2"	chr21	-	9068359	9068659	9068359	9068629	9069444	9069599	6	16,22,30	2,0,5	22,5,18	1,2,2	179	149	0.89633494947	1.0	0.869,1.0,0.833	0.948,0.675,0.882	0.066
7	"ENSG00000291050"	"TEKT4P2"	chr21	-	9068355	9069599	9068355	9068659	9070213	9070444	7	71,58,77	0,0,2	54,47,61	1,1,1	1089	149	0.086524987217	0.5086481895972981	1.0,1.0,0.84	0.881,0.865,0.893	0.067
8	"ENSG00000291050"	"TEKT4P2"	chr21	-	9069444	9069626	9069444	9069599	9070213	9070444	8	2,3,4	6,2,1	1,1,0	1,2,3	176	149	0.00154674593494	0.028438790776207173	0.22,0.559,0.772	0.458,0.297,0.0	0.265
9	"ENSG00000291050"	"TEKT4P2"	chr21	-	9069444	9069722	9069444	9069599	9070213	9070444	9	4,4,3	6,2,1	2,0,2	1,2,3	272	149	0.11780412289	0.6194591550783827	0.268,0.523,0.622	0.523,0.0,0.268	0.207
10	"ENSG00000291050"	"TEKT4P2"	chr21	-	9069444	9069722	9069444	9069626	9070213	9070444	10	3,3,3	1,2,4	2,0,2	1,1,0	245	149	0.0323532087809	0.2604780743706391	0.646,0.477,0.313	0.549,0.0,1.0	-0.038
12	"ENSG00000291050"	"TEKT4P2"	chr21	-	9070213	9070444	9070213	9070436	9127488	9127547	12	1,0,0	0,1,0	1,2,0	0,0,0	157	149	1	1.0	1.0,0.0,NA	1.0,1.0,NA	-0.5
13	"ENSG00000291050"	"TEKT4P2"	chr21	-	9077485	9077714	9077485	9077539	9127488	9127547	13	38,22,28	1,0,0	30,44,30	0,0,0	324	149	1	1.0	0.946,1.0,1.0	1.0,1.0,1.0	-0.018
