ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000142173"	"COL6A2"	chr21	+	46125416	46125617	46125464	46125617	46124884	46124920	1	2,0,3	5,5,6	0,0,1	9,12,12	197	149	0.0175441769508	0.1611662217118118	0.232,0.0,0.274	0.0,0.0,0.059	0.149
2	"ENSG00000142173"	"COL6A2"	chr21	+	46125416	46125617	46125464	46125617	46125265	46125311	2	2,0,2	149,129,137	0,1,1	68,73,65	197	149	1	1.0	0.01,0.0,0.011	0.0,0.01,0.012	-0.0
3	"ENSG00000156261"	"CCT8"	chr21	-	29066715	29067071	29066715	29066777	29067555	29067705	3	935,927,1035	0,0,0	932,789,765	2,0,2	443	149	1	1.0	1.0,1.0,1.0	0.994,1.0,0.992	0.005
6	"ENSG00000291050"	"TEKT4P2"	chr21	-	9068359	9068659	9068359	9068629	9069444	9069599	6	16,22,30	2,0,5	23,14,26	0,5,1	179	149	0.500736038729	1.0	0.869,1.0,0.833	1.0,0.7,0.956	0.015
7	"ENSG00000291050"	"TEKT4P2"	chr21	-	9068355	9069599	9068355	9068659	9070213	9070444	7	71,58,77	0,0,2	50,63,41	0,1,4	1089	149	0.0257299388963	0.216135564373753	1.0,1.0,0.84	1.0,0.896,0.584	0.12
8	"ENSG00000291050"	"TEKT4P2"	chr21	-	9069444	9069626	9069444	9069599	9070213	9070444	8	2,3,4	6,2,1	1,0,1	4,1,4	176	149	1	1.0	0.22,0.559,0.772	0.175,0.0,0.175	0.4
9	"ENSG00000291050"	"TEKT4P2"	chr21	-	9069444	9069722	9069444	9069599	9070213	9070444	9	4,4,3	6,2,1	3,1,2	4,1,4	272	149	0.230994550968	0.9392262955651016	0.268,0.523,0.622	0.291,0.354,0.215	0.184
10	"ENSG00000291050"	"TEKT4P2"	chr21	-	9069444	9069722	9069444	9069626	9070213	9070444	10	3,3,3	1,2,4	2,1,1	0,0,0	245	149	1.12391422391e-07	8.050415329506695e-06	0.646,0.477,0.313	1.0,1.0,1.0	-0.521
12	"ENSG00000291050"	"TEKT4P2"	chr21	-	9070213	9070444	9070213	9070436	9127488	9127547	12	1,0,0	0,1,0	2,0,0	0,0,0	157	149	1	1.0	1.0,0.0,NA	1.0,NA,NA	-0.5
13	"ENSG00000291050"	"TEKT4P2"	chr21	-	9077485	9077714	9077485	9077539	9127488	9127547	13	38,22,28	1,0,0	42,37,32	0,0,0	324	149	1	1.0	0.946,1.0,1.0	1.0,1.0,1.0	-0.018
15	"ENSG00000278932"	NA	chr21	+	9368208	9368911	9368465	9368911	9367173	9367275	15	2,0,1	0,1,0	1,0,0	0,6,0	406	149	1	1.0	1.0,0.0,1.0	1.0,0.0,NA	0.167
