ID,GeneID,geneSymbol,chr,strand,riExonStart_0base,riExonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID.1,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,Distance,MeanCounts_SAMPLE_1,MeanCounts_SAMPLE_2,event_id
21,ENSG00000160294,MCM3AP,chr21,-,46246306,46246886,46246306,46246404,46246627,46246886,21,"41,58,51","110,58,77","82,42,64","42,27,52",372,149,1.38016663643e-05,6.722394751582533e-05,"0.13,0.286,0.21","0.439,0.384,0.33",-0.176,223,131.66666666666669,103.0,MCM3AP_chr21_-_46246306_46246886_46246306_46246404_46246627_46246886_223
148,ENSG00000025770,NCAPH2,chr22,+,50523016,50523472,50523016,50523166,50523234,50523472,148,"17,12,8","152,134,139","42,35,56","73,73,93",217,149,0.0,0.0,"0.071,0.058,0.038","0.283,0.248,0.293",-0.219,68,154.0,124.0,NCAPH2_chr22_+_50523016_50523472_50523016_50523166_50523234_50523472_68
153,ENSG00000161179,YDJC,chr22,-,21629009,21629407,21629009,21629187,21629307,21629407,153,"93,96,93","442,417,389","108,83,102","157,110,158",269,149,0.0,0.0,"0.104,0.113,0.117","0.276,0.295,0.263",-0.167,120,510.0,239.33333333333331,YDJC_chr22_-_21629009_21629407_21629009_21629187_21629307_21629407_120
155,ENSG00000161179,YDJC,chr22,-,21629009,21629761,21629009,21629407,21629601,21629761,155,"387,365,441","303,275,293","304,271,281","108,81,109",343,149,6.28881391407e-11,5.393333558826117e-10,"0.357,0.366,0.395","0.55,0.592,0.528",-0.184,194,688.0,384.66666666666663,YDJC_chr22_-_21629009_21629761_21629009_21629407_21629601_21629761_194
214,ENSG00000130299,GTPBP3,chr19,+,17338953,17339266,17338953,17339026,17339122,17339266,214,"82,111,88","435,403,394","177,138,146","240,179,225",245,149,0.0,0.0,"0.103,0.143,0.12","0.31,0.319,0.283",-0.182,96,504.33333333333337,368.3333333333333,GTPBP3_chr19_+_17338953_17339266_17338953_17339026_17339122_17339266_96
294,ENSG00000105397,TYK2,chr19,-,10353527,10354234,10353527,10353646,10354041,10354234,294,"101,101,87","57,60,76","125,73,94","19,20,25",544,149,2.29013381259e-07,1.3883701208673695e-06,"0.327,0.316,0.239","0.643,0.5,0.507",-0.256,395,160.66666666666666,118.66666666666666,TYK2_chr19_-_10353527_10354234_10353527_10353646_10354041_10354234_395
300,ENSG00000105699,LSR,chr19,+,35266678,35266967,35266678,35266738,35266835,35266967,300,"2,2,6","67,62,59","48,40,59","55,49,67",246,149,0.0,0.0,"0.018,0.019,0.058","0.346,0.331,0.348",-0.31,97,66.0,106.0,LSR_chr19_+_35266678_35266967_35266678_35266738_35266835_35266967_97
301,ENSG00000105699,LSR,chr19,+,35266678,35266967,35266678,35266738,35266838,35266967,301,"3,3,8","11,11,4","51,40,59","6,10,11",249,149,2.5173350211e-06,1.3587720610966667e-05,"0.14,0.14,0.545","0.836,0.705,0.762",-0.493,100,13.333333333333332,59.0,LSR_chr19_+_35266678_35266967_35266678_35266738_35266838_35266967_100
362,ENSG00000141994,DUS3L,chr19,-,5786748,5787171,5786748,5786845,5787060,5787171,362,"7,18,29","64,58,71","78,63,85","48,40,53",364,149,0.0,0.0,"0.043,0.113,0.143","0.399,0.392,0.396",-0.296,215,82.33333333333333,122.33333333333333,DUS3L_chr19_-_5786748_5787171_5786748_5786845_5787060_5787171_215
363,ENSG00000141994,DUS3L,chr19,-,5786748,5787171,5786748,5786919,5787060,5787171,363,"1,8,18","12,15,18","60,46,63","11,8,9",290,149,5.67106361871e-11,4.897676463222763e-10,"0.041,0.215,0.339","0.737,0.747,0.782",-0.557,141,24.0,65.66666666666667,DUS3L_chr19_-_5786748_5787171_5786748_5786919_5787060_5787171_141
382,ENSG00000104936,DMPK,chr19,-,45770970,45771396,45770970,45771056,45771349,45771396,382,"10,21,19","32,24,21","37,23,36","22,8,16",442,149,3.93540960109e-05,0.0001787150337911,"0.095,0.228,0.234","0.362,0.492,0.431",-0.243,293,42.333333333333336,47.333333333333336,DMPK_chr19_-_45770970_45771396_45770970_45771056_45771349_45771396_293
383,ENSG00000104936,DMPK,chr19,-,45770970,45771396,45770970,45771060,45771349,45771396,383,"10,19,18","39,30,40","37,23,35","24,13,16",438,149,1.5772262385e-08,1.0803560802489797e-07,"0.08,0.177,0.133","0.344,0.376,0.427",-0.252,289,52.0,49.333333333333336,DMPK_chr19_-_45770970_45771396_45770970_45771060_45771349_45771396_289
395,ENSG00000099875,MKNK2,chr19,-,2042606,2042870,2042606,2042662,2042765,2042870,395,"7,17,20","204,167,193","82,57,66","119,96,89",252,149,0.0,0.0,"0.02,0.057,0.058","0.289,0.26,0.305",-0.24,103,202.66666666666666,169.66666666666666,MKNK2_chr19_-_2042606_2042870_2042606_2042662_2042765_2042870_103
