ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000156261"	"CCT8"	chr21	-	29066715	29067071	29066715	29066777	29066890	29067071	0	16,7,10	760,785,868	9,10,12	880,725,719	262	149	1	1.0	0.012,0.005,0.007	0.006,0.008,0.009	0.0
3	"ENSG00000291050"	"TEKT4P2"	chr21	-	9068355	9069599	9068355	9068659	9069444	9069599	3	65,56,76	8,14,22	46,61,39	17,8,22	934	149	0.326883752091	0.6314494656665467	0.564,0.39,0.355	0.302,0.549,0.22	0.079
4	"ENSG00000291050"	"TEKT4P2"	chr21	-	9068359	9069599	9068359	9068629	9069444	9069599	4	73,64,84	2,0,5	52,67,43	0,5,1	964	149	0.941731975469	1.0	0.849,1.0,0.722	1.0,0.674,0.869	0.009
5	"ENSG00000291050"	"TEKT4P2"	chr21	-	9069444	9070444	9069444	9069599	9070213	9070444	5	4,1,5	6,2,1	2,3,3	4,1,4	763	149	0.734721516276	1.0	0.115,0.089,0.494	0.089,0.369,0.128	0.037
6	"ENSG00000291050"	"TEKT4P2"	chr21	-	9069444	9070444	9069444	9069626	9070213	9070444	6	3,0,5	1,2,4	1,3,2	0,0,0	736	149	3.26638716075e-12	1.36571276510025e-10	0.378,0.0,0.202	1.0,1.0,1.0	-0.807
7	"ENSG00000291050"	"TEKT4P2"	chr21	-	9069444	9070444	9069444	9069722	9070213	9070444	7	1,0,3	1,3,1	1,2,2	2,0,1	640	149	0.440323415322	0.7817584391869242	0.189,0.0,0.411	0.104,1.0,0.318	-0.274
8	"ENSG00000278932"	NA	chr21	+	9325014	9325823	9325014	9325223	9325604	9325823	8	13,11,6	2,2,2	10,11,11	1,3,1	530	149	0.616004648249	0.976216252415661	0.646,0.607,0.458	0.738,0.508,0.756	-0.097
16	"ENSG00000160223"	"ICOSLG"	chr21	-	44226833	44230089	44226833	44229044	44230053	44230089	16	6,0,6	0,2,0	2,11,4	0,0,0	1158	149	0.0645272502448	0.1823295181406848	1.0,0.0,1.0	1.0,1.0,1.0	-0.333
19	"ENSG00000182670"	"TTC3"	chr21	+	37087832	37088346	37087832	37087875	37088195	37088346	19	3,3,4	42,43,28	5,6,8	14,17,14	469	149	0.000228426945555	0.0016706911489280175	0.022,0.022,0.043	0.102,0.101,0.154	-0.09
20	"ENSG00000182670"	"TTC3"	chr21	+	37201439	37203080	37201439	37201570	37202283	37203080	20	994,1053,950	1,3,0	603,578,485	2,3,1	862	149	0.560181948819	0.9213132313836963	0.994,0.984,1.0	0.981,0.971,0.988	0.013
21	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46246306	46246404	46246627	46246886	21	41,58,51	110,58,77	41,65,68	65,66,92	372	149	0.25411625422	0.5233054540857083	0.13,0.286,0.21	0.202,0.283,0.228	-0.029
22	"ENSG00000160285"	"LSS"	chr21	-	46188445	46191235	46188445	46188821	46191075	46191235	22	2363,2330,2331	8,15,7	1549,1667,1744	8,6,0	2403	149	0.122294785311	0.29921669513998245	0.948,0.906,0.954	0.923,0.945,1.0	-0.02
28	"ENSG00000154734"	"ADAMTS1"	chr21	-	26838438	26839762	26838438	26838614	26839586	26839762	28	19,32,41	287,306,289	22,17,17	87,77,88	1121	149	0.000503214765614	0.0032903512823726886	0.009,0.014,0.019	0.033,0.029,0.025	-0.015
